Time(s),ECG(mV),BP(mmHg),EEG (C4-A1)(mV),Resp (sum)(l)
0.0,0.11,45.2092812980087,-0.02037325038880249,0.3
0.004,0.115,45.41858352624022,-0.019284603421461897,0.28405797101449276
0.008,0.12,44.790676841545654,-0.018818040435458788,0.2898550724637681
0.012,0.125,44.58137461331413,-0.014307931570762053,0.2855072463768116
0.016,0.135,44.37207238508261,-0.008709175738724729,0.2898550724637681
0.02,0.14,44.58137461331413,-0.007309486780715396,0.28695652173913044
0.024,0.14,44.790676841545654,-0.0029548989113530326,0.2971014492753623
0.028,0.14,44.16277015685109,0.005598755832037325,0.30869565217391304
0.032,0.145,43.95346792861957,0.01166407465007776,0.30289855072463767
0.036,0.14,44.16277015685109,0.017573872472783827,0.2971014492753623
0.04,0.155,44.58137461331413,0.023017107309486782,0.3
0.044,0.155,44.999979069777176,0.028615863141524107,0.3
0.048,0.16,45.62788575447174,0.029082426127527216,0.2942028985507246
0.052,0.17,47.093001352092394,0.031570762052877135,0.28695652173913044
0.056,0.165,48.76741917794457,0.03328149300155521,0.2753623188405797
0.06,0.18,50.651139232028264,0.03110419906687403,0.2768115942028985
0.064,0.175,52.953463742575,0.027060653188180406,0.27246376811594203
0.068,0.18,55.465090481353265,0.02255054432348367,0.28405797101449276
0.072,0.185,58.39532167659457,0.018818040435458788,0.2753623188405797
0.076,0.19,61.325552871835875,0.015241057542768274,0.2956521739130435
0.08,0.2,64.04648183884565,0.01088646967340591,0.30144927536231886
0.084,0.205,67.39531749055,0.009175738724727838,0.3144927536231884
0.088,0.21,70.53485091402283,0.009797822706065318,0.3
0.092,0.22,74.51159325042174,0.010575427682737169,0.3144927536231884
0.096,0.215,77.65112667389457,0.013219284603421462,0.2956521739130435
0.1,0.22,81.41856678206196,0.014930015552099534,0.30144927536231886
0.104,0.23,85.81391357492392,0.01866251944012442,0.2956521739130435
0.108,0.23,89.58135368309131,0.02052877138413686,0.28840579710144926
0.112,0.22,93.13949156302718,0.027993779160186624,0.29130434782608694
0.116,0.24,96.48832721473153,0.03608087091757387,0.3101449275362319
0.12,0.225,100.0464650946674,0.04074650077760498,0.2956521739130435
