Time(s),ECG(mV),BP(mmHg),EEG (C4-A1)(mV),Resp (sum)(l)
0.0,0.085,59.6511350459837,-0.037791601866251946,0.25217391304347825
0.004,0.08,59.6511350459837,-0.037636080870917576,0.2782608695652174
0.008,0.085,59.023228361289135,-0.03359253499222395,0.28405797101449276
0.012,0.09,59.023228361289135,-0.030015552099533438,0.2768115942028985
0.016,0.1,59.023228361289135,-0.026749611197511663,0.28405797101449276
0.02,0.09,59.23253058952066,-0.02270606531881804,0.2826086956521739
0.024,0.105,58.81392613305761,-0.019284603421461897,0.2797101449275362
0.028,0.1,58.39532167659457,-0.019440124416796267,0.2753623188405797
0.032,0.11,58.39532167659457,-0.017107309486780714,0.28405797101449276
0.036,0.115,58.39532167659457,-0.013219284603421462,0.2797101449275362
0.04,0.12,58.18601944836305,-0.012441679626749611,0.2710144927536232
0.044,0.12,58.81392613305761,-0.015085536547433904,0.25507246376811593
0.048,0.12,57.976717220131526,-0.014463452566096423,0.26521739130434785
0.052,0.13,57.976717220131526,-0.014463452566096423,0.2710144927536232
0.056,0.14,58.60462390482609,-0.015707620528771383,0.2971014492753623
0.06,0.14,58.81392613305761,-0.016796267496111975,0.2826086956521739
0.064,0.16,58.81392613305761,-0.016796267496111975,0.28695652173913044
0.068,0.16,59.86043727421522,-0.013063763608087092,0.2768115942028985
0.072,0.165,61.5348551000674,-0.0104199066874028,0.2782608695652174
0.076,0.18,62.99997069768805,-0.006842923794712286,0.26666666666666666
0.08,0.18,64.88369075177174,-0.004199066874027994,0.2608695652173913
0.084,0.2,67.39531749055,-0.003110419906687403,0.2492753623188406
0.088,0.19,69.48833977286522,-0.0052877138413685845,0.25217391304347825
0.092,0.195,72.209268739875,-0.005443234836702955,0.2463768115942029
0.096,0.205,74.51159325042174,-0.004043545878693624,0.2608695652173913
0.1,0.225,78.27903335858913,-0.0057542768273716955,0.2608695652173913
0.104,0.225,80.58135786913587,-0.006531881804043546,0.26666666666666666
0.108,0.235,84.34879797730326,-0.005443234836702955,0.27391304347826084
0.112,0.24,87.69763362900761,-0.004354587869362364,0.27246376811594203
0.116,0.25,91.465073737175,-0.005909797822706065,0.26521739130434785
0.12,0.255,95.65111830180544,-0.0038880248833592537,0.2565217391304348
0.124,0.265,98.99995395350979,-0.002488335925349922,0.25507246376811593
0.128,0.255,102.34878960521414,-0.004354587869362364,0.2536231884057971
0.132,0.27,105.69762525691849,-0.003421461897356143,0.2536231884057971
0.136,0.26,109.04646090862283,-0.002488335925349922,0.2391304347826087
0.14,0.265,111.76738987563262,-0.0035769828926905133,0.24057971014492754
0.144,0.25,114.90692329910544,-0.006376360808709175,0.2289855072463768
0.148,0.26,117.4185500378837,-0.005598755832037325,0.24492753623188407
0.152,0.25,119.51157232019892,-0.006065318818040436,0.2391304347826087
0.156,0.245,120.76738568958805,-0.007620528771384137,0.2608695652173913
0.16,0.24,122.65110574367175,-0.008709175738724729,0.25507246376811593
0.164,0.22,123.48831465659784,-0.009642301710730949,0.26956521739130435
0.168,0.23,124.1162213412924,-0.00933125972006221,0.2608695652173913
0.172,0.21,124.32552356952392,-0.009953343701399688,0.26811594202898553
0.176,0.2,123.69761688482936,-0.01135303265940902,0.2608695652173913
0.18,0.175,123.27901242836631,-0.01181959564541213,0.2594202898550725
0.184,0.155,122.65110574367175,-0.013219284603421462,0.25072463768115943
0.188,0.125,121.60459460251414,-0.016329704510108865,0.263768115942029
0.192,0.11,120.34878123312501,-0.015085536547433904,0.26666666666666666
0.196,0.095,118.67436340727284,-0.014930015552099534,0.27246376811594203
0.2,0.08,117.4185500378837,-0.019906687402799376,0.27391304347826084
0.204,0.04,115.74413221203153,-0.0255054432348367,0.2927536231884058
0.208,0.03,113.65110992971631,-0.027216174183514776,0.30289855072463767
0.212,0.025,112.18599433209566,-0.028304821150855364,0.30434782608695654
0.216,0.015,110.72087873447501,-0.029860031104199068,0.2971014492753623
0.22,-0.0,108.41855422392827,-0.0297045101088647,0.2942028985507246
0.224,-0.015,106.53483416984457,-0.029237947122861586,0.3
0.228,-0.025,105.06971857222392,-0.03234836702954899,0.29130434782608694
0.232,-0.03,103.39530074637175,-0.03250388802488336,0.2826086956521739
0.236,-0.03,101.72088292051957,-0.03234836702954899,0.2811594202898551
0.24,-0.035,99.83716286643588,-0.03359253499222395,0.2782608695652174
0.244,-0.04,98.58134949704674,-0.0359253499222395,0.2782608695652174
0.248,-0.04,97.32553612765761,-0.03701399688958009,0.2898550724637681
0.252,-0.04,95.65111830180544,-0.03654743390357698,0.28840579710144926
0.256,-0.04,93.97670047595327,-0.03670295489891135,0.2985507246376812
0.26,-0.045,92.93018933479566,-0.03654743390357698,0.30144927536231886
0.264,-0.025,91.88367819363805,-0.034992223950233284,0.2971014492753623
0.268,-0.03,90.4185625960174,-0.03250388802488336,0.29130434782608694
0.272,-0.04,88.95344699839674,-0.030948678071539656,0.2942028985507246
0.276,-0.02,88.5348425419337,-0.030171073094867808,0.2753623188405797
0.28,-0.03,86.44182025961848,-0.029860031104199068,0.28405797101449276
0.284,-0.02,86.02321580315544,-0.029393468118195955,0.2608695652173913
0.288,-0.005,85.18600689022935,-0.030326594090202177,0.2753623188405797
0.292,-0.01,84.13949574907174,-0.026127527216174184,0.26666666666666666
0.296,-0.01,83.93019352084022,-0.02208398133748056,0.2753623188405797
0.3,-0.01,83.09298460791413,-0.02270606531881804,0.2782608695652174
0.304,-0.0,82.67438015145109,-0.02379471228615863,0.2855072463768116
0.308,-0.01,81.41856678206196,-0.018818040435458788,0.28695652173913044
0.312,-0.01,81.41856678206196,-0.019129082426127528,0.2898550724637681
0.316,-0.005,81.20926455383044,-0.019129082426127528,0.2797101449275362
0.32,-0.0,80.7906600973674,-0.018195956454121306,0.28405797101449276
0.324,-0.0,79.53484672797826,-0.016174183514774496,0.26666666666666666
0.328,-0.0,79.32554449974674,-0.017884914463452566,0.2710144927536232
0.332,0.005,78.9069400432837,-0.017573872472783827,0.263768115942029
