Time(s),ECG(mV),BP(mmHg),EEG (C4-A1)(mV),Resp (sum)(l)
0.0,-0.03,109.04646090862283,-0.04416796267496112,0.26956521739130435
0.004,-0.02,107.7906475392337,-0.04727838258164852,0.27246376811594203
0.008,-0.035,105.69762525691849,-0.053654743390357695,0.2811594202898551
0.012,-0.02,104.02320743106631,-0.053499222395023326,0.2826086956521739
0.016,-0.04,102.76739406167718,-0.05225505443234837,0.28695652173913044
0.02,-0.03,100.88367400759348,-0.05178849144634526,0.2898550724637681
0.024,-0.035,99.83716286643588,-0.050233281493001554,0.28695652173913044
0.028,-0.03,98.99995395350979,-0.046189735614307934,0.2768115942028985
0.032,-0.04,96.90693167119457,-0.04152410575427683,0.2753623188405797
0.036,-0.04,95.86042053003696,-0.037947122861586316,0.26231884057971017
0.04,-0.02,94.60460716064783,-0.03374805598755832,0.25072463768115943
0.044,-0.04,93.3487937912587,-0.030015552099533438,0.263768115942029
0.048,-0.025,92.93018933479566,-0.026283048211508554,0.2492753623188406
0.052,-0.02,91.88367819363805,-0.02270606531881804,0.2594202898550725
0.056,-0.035,91.04646928071196,-0.02021772939346812,0.26521739130434785
0.06,-0.015,91.04646928071196,-0.018973561430793158,0.2753623188405797
0.064,-0.02,89.79065591132283,-0.01866251944012442,0.26956521739130435
0.068,-0.02,89.58135368309131,-0.021306376360808708,0.27391304347826084
0.072,-0.01,88.95344699839674,-0.017884914463452566,0.26666666666666666
0.076,-0.02,88.11623808547066,-0.014930015552099534,0.26956521739130435
0.08,-0.0,87.69763362900761,-0.015085536547433904,0.25507246376811593
0.084,-0.0,87.27902917254457,-0.014307931570762053,0.25217391304347825
0.088,0.005,86.23251803138696,-0.012130637636080872,0.24782608695652175
0.092,0.005,86.02321580315544,-0.01166407465007776,0.23768115942028986
0.096,0.015,85.6046113466924,-0.01119751166407465,0.23623188405797102
0.1,0.005,84.97670466199783,-0.008087091757387248,0.24492753623188407
0.104,0.005,83.93019352084022,-0.007776049766718507,0.26666666666666666
0.108,0.02,83.51158906437718,-0.009486780715396579,0.2492753623188406
0.112,0.015,83.09298460791413,-0.010575427682737169,0.2782608695652174
0.116,0.025,83.09298460791413,-0.01135303265940902,0.2536231884057971
0.12,0.015,81.62786901029348,-0.016329704510108865,0.27391304347826084
0.124,0.035,81.41856678206196,-0.02208398133748056,0.25072463768115943
0.128,0.02,81.41856678206196,-0.024883359253499222,0.2608695652173913
0.132,0.025,80.7906600973674,-0.028149300155520994,0.24347826086956523
0.136,0.04,79.9534511844413,-0.03359253499222395,0.24057971014492754
0.14,0.03,80.16275341267283,-0.03701399688958009,0.23768115942028986
0.144,0.04,79.53484672797826,-0.04090202177293935,0.24057971014492754
0.148,0.02,79.32554449974674,-0.0416796267496112,0.23333333333333334
0.152,0.02,79.32554449974674,-0.0432348367029549,0.25072463768115943
0.156,0.035,79.11624227151522,-0.04105754276827372,0.25072463768115943
0.16,0.045,78.9069400432837,-0.037947122861586316,0.25507246376811593
0.164,0.015,78.9069400432837,-0.034681181959564544,0.2594202898550725
0.168,0.04,79.32554449974674,-0.03359253499222395,0.25072463768115943
0.172,0.03,79.74414895620978,-0.029237947122861586,0.2579710144927536
0.176,0.025,79.74414895620978,-0.026749611197511663,0.24202898550724639
0.18,0.04,79.74414895620978,-0.027993779160186624,0.23768115942028986
0.184,0.035,80.16275341267283,-0.028149300155520994,0.23768115942028986
0.188,0.03,80.37205564090435,-0.02348367029548989,0.23043478260869565
0.192,0.04,80.58135786913587,-0.0223950233281493,0.2246376811594203
0.196,0.035,81.62786901029348,-0.019906687402799376,0.22028985507246376
0.2,0.04,82.04647346675652,-0.015707620528771383,0.23043478260869565
0.204,0.035,82.04647346675652,-0.014930015552099534,0.25072463768115943
0.208,0.04,83.09298460791413,-0.015552099533437015,0.2391304347826087
0.212,0.035,83.51158906437718,-0.012441679626749611,0.25507246376811593
0.216,0.03,83.7208912926087,-0.009953343701399688,0.24782608695652175
0.22,0.045,84.34879797730326,-0.01026438569206843,0.24347826086956523
0.224,0.05,85.18600689022935,-0.014152410575427682,0.24057971014492754
0.228,0.035,85.6046113466924,-0.013996889580093312,0.23768115942028986
0.232,0.06,85.39530911846087,-0.014152410575427682,0.2217391304347826
0.236,0.04,86.02321580315544,-0.014930015552099534,0.22608695652173913
0.24,0.04,86.44182025961848,-0.017418351477449457,0.22028985507246376
0.244,0.035,86.44182025961848,-0.019906687402799376,0.23478260869565218
0.248,0.05,86.44182025961848,-0.019906687402799376,0.22608695652173913
0.252,0.045,86.44182025961848,-0.023017107309486782,0.23333333333333334
0.256,0.04,86.23251803138696,-0.02379471228615863,0.23478260869565218
0.26,0.055,86.65112248785,-0.024883359253499222,0.25217391304347825
0.264,0.055,87.27902917254457,-0.023950233281493,0.23478260869565218
0.268,0.055,87.06972694431305,-0.027371695178849145,0.23768115942028986
0.272,0.05,86.23251803138696,-0.025660964230171075,0.23768115942028986
0.276,0.055,86.86042471608152,-0.02177293934681182,0.2289855072463768
0.28,0.05,86.44182025961848,-0.02270606531881804,0.21739130434782608
0.284,0.06,86.23251803138696,-0.022861586314152412,0.2144927536231884
0.288,0.06,85.6046113466924,-0.019284603421461897,0.21159420289855072
0.292,0.06,85.6046113466924,-0.017573872472783827,0.2144927536231884
0.296,0.065,85.18600689022935,-0.017262830482115084,0.2246376811594203
0.3,0.06,84.7674024337663,-0.017262830482115084,0.22028985507246376
0.304,0.07,84.7674024337663,-0.016796267496111975,0.23333333333333334
0.308,0.06,84.34879797730326,-0.018506998444790045,0.23478260869565218
0.312,0.06,83.93019352084022,-0.017107309486780714,0.24347826086956523
0.316,0.07,83.30228683614565,-0.012597200622083981,0.22318840579710145
0.32,0.06,83.09298460791413,-0.01119751166407465,0.2318840579710145
0.324,0.055,82.67438015145109,-0.013063763608087092,0.2246376811594203
0.328,0.075,82.46507792321957,-0.013685847589424573,0.21884057971014492
0.332,0.075,81.837171238525,-0.013685847589424573,0.2028985507246377
0.336,0.07,81.41856678206196,-0.016329704510108865,0.20144927536231885
0.34,0.08,80.99996232559891,-0.018040435458786936,0.18985507246376812
0.344,0.08,80.58135786913587,-0.01866251944012442,0.2028985507246377
0.348,0.075,80.16275341267283,-0.016018662519440126,0.1927536231884058
0.352,0.08,79.74414895620978,-0.014307931570762053,0.20869565217391303
0.356,0.075,79.74414895620978,-0.01166407465007776,0.20434782608695654
0.36,0.07,78.9069400432837,-0.007620528771384137,0.22028985507246376
0.364,0.08,78.69763781505218,-0.009486780715396579,0.21304347826086956
0.368,0.065,78.48833558682065,-0.012441679626749611,0.21594202898550724
0.372,0.08,77.23252221743152,-0.01010886469673406,0.2072463768115942
0.376,0.075,77.65112667389457,-0.008709175738724729,0.19855072463768117
0.38,0.095,77.86042890212609,-0.01275272161741835,0.1855072463768116
0.384,0.08,77.0232199892,-0.016018662519440126,0.1855072463768116
0.388,0.1,76.18601107627391,-0.015707620528771383,0.1855072463768116
0.392,0.1,76.18601107627391,-0.017262830482115084,0.1855072463768116
0.396,0.1,75.97670884804239,-0.018973561430793158,0.18405797101449275
0.4,0.1,75.1394999351163,-0.016951788491446344,0.18840579710144928
0.404,0.11,75.1394999351163,-0.018506998444790045,0.20434782608695654
0.408,0.12,74.72089547865326,-0.019906687402799376,0.1956521739130435
0.412,0.12,74.30229102219022,-0.018506998444790045,0.20144927536231885
0.416,0.13,74.0929887939587,-0.01275272161741835,0.1855072463768116
0.42,0.12,74.30229102219022,-0.00933125972006221,0.18405797101449275
0.424,0.14,73.46508210926413,-0.004976671850699844,0.17391304347826086
0.428,0.16,73.46508210926413,0.00046656298600311044,0.16521739130434782
0.432,0.16,73.04647765280109,0.0052877138413685845,0.15072463768115943
0.436,0.17,72.41857096810652,0.007931570762052876,0.15797101449275364
0.44,0.18,72.209268739875,0.008864696734059098,0.14347826086956522
0.444,0.18,72.209268739875,0.009486780715396579,0.1565217391304348
0.448,0.19,71.58136205518043,0.01088646967340591,0.14782608695652175
0.452,0.18,72.209268739875,0.0104199066874028,0.15797101449275364
0.456,0.195,71.37205982694891,0.01119751166407465,0.1492753623188406
0.46,0.19,70.53485091402283,0.009175738724727838,0.15942028985507245
0.464,0.18,70.53485091402283,0.005598755832037325,0.1536231884057971
0.468,0.155,70.53485091402283,0.002488335925349922,0.1565217391304348
0.472,0.15,70.3255486857913,0.001244167962674961,0.14782608695652175
0.476,0.14,69.90694422932826,0.0006220839813374805,0.13333333333333333
0.48,0.135,70.11624645755978,-0.0052877138413685845,0.13043478260869565
0.484,0.115,69.69764200109674,-0.009953343701399688,0.12173913043478261
0.488,0.1,69.06973531640217,-0.010575427682737169,0.12608695652173912
0.492,0.075,69.2790375446337,-0.013685847589424573,0.12608695652173912
0.496,0.07,68.86043308817065,-0.015552099533437015,0.1318840579710145
0.5,0.065,68.65113085993913,-0.017573872472783827,0.1391304347826087
0.504,0.07,68.02322417524456,-0.019129082426127528,0.1391304347826087
0.508,0.055,68.02322417524456,-0.020995334370139968,0.14202898550724638
0.512,0.07,68.02322417524456,-0.024572317262830483,0.14202898550724638
0.516,0.06,68.02322417524456,-0.02192846034214619,0.13623188405797101
0.52,0.08,68.02322417524456,-0.027527216174183515,0.12753623188405797
0.524,0.075,67.81392194701304,-0.030015552099533438,0.11594202898550725
0.528,0.07,67.18601526231848,-0.030637636080870917,0.11884057971014493
0.532,0.07,67.18601526231848,-0.030793157076205287,0.10434782608695652
0.536,0.07,67.39531749055,-0.028615863141524107,0.10869565217391304
0.54,0.08,67.18601526231848,-0.028304821150855364,0.09565217391304348
0.544,0.075,66.97671303408696,-0.026438569206842923,0.1144927536231884
0.548,0.085,66.97671303408696,-0.026749611197511663,0.11014492753623188
0.552,0.075,67.18601526231848,-0.026905132192846033,0.12608695652173912
0.556,0.08,66.55810857762391,-0.024261275272161743,0.12173913043478261
0.56,0.08,66.55810857762391,-0.02192846034214619,0.12318840579710146
0.564,0.065,66.34880634939239,-0.019284603421461897,0.1144927536231884
0.568,0.105,66.34880634939239,-0.02052877138413686,0.11014492753623188
0.572,0.14,65.93020189292935,-0.016796267496111975,0.10144927536231885
0.576,0.235,65.93020189292935,-0.01010886469673406,0.09565217391304348
0.58,0.4,65.72089966469782,-0.0037325038880248835,0.08550724637681159
0.584,0.675,66.13950412116087,0.0038880248833592537,0.09130434782608696
0.588,0.975,65.30229520823478,0.016329704510108865,0.08550724637681159
0.592,1.22,65.30229520823478,0.02021772939346812,0.09130434782608696
0.596,1.3,65.30229520823478,0.013219284603421462,0.08695652173913043
0.6,1.06,65.5115974364663,0.002488335925349922,0.09710144927536232
0.604,0.645,65.30229520823478,-0.014152410575427682,0.10434782608695652
0.608,0.145,65.30229520823478,-0.03265940902021773,0.09420289855072464
0.612,-0.205,65.30229520823478,-0.04121306376360809,0.09855072463768116
0.616,-0.375,65.5115974364663,-0.04292379471228616,0.08550724637681159
0.62,-0.36,65.09299298000326,-0.046189735614307934,0.08115942028985507
0.624,-0.235,65.30229520823478,-0.04650077760497667,0.06811594202898551
0.628,-0.155,65.30229520823478,-0.049766718506998445,0.06376811594202898
0.632,-0.11,64.67438852354022,-0.049300155520995335,0.05652173913043478
0.636,-0.07,64.67438852354022,-0.049766718506998445,0.057971014492753624
0.64,-0.02,64.04648183884565,-0.04852255054432349,0.04782608695652174
0.644,0.02,64.04648183884565,-0.049766718506998445,0.06086956521739131
0.648,0.03,64.67438852354022,-0.04727838258164852,0.0536231884057971
0.652,0.025,64.04648183884565,-0.049766718506998445,0.06956521739130435
0.656,0.05,63.837179610614136,-0.048678071539657856,0.06086956521739131
0.66,0.045,63.837179610614136,-0.048678071539657856,0.06376811594202898
0.664,0.045,63.837179610614136,-0.0510108864696734,0.05652173913043478
0.668,0.045,63.627877382382614,-0.0510108864696734,0.0463768115942029
0.672,0.045,63.20927292591957,-0.047900466562986,0.04057971014492753
0.676,0.06,62.99997069768805,-0.04416796267496112,0.030434782608695653
0.68,0.06,63.20927292591957,-0.04385692068429238,0.021739130434782608
0.684,0.07,62.99997069768805,-0.04510108864696734,0.02318840579710145
0.688,0.075,62.372064012993484,-0.042612752721617415,0.015942028985507246
0.692,0.08,62.372064012993484,-0.039502332814930013,0.017391304347826087
0.696,0.09,62.16276178476196,-0.03965785381026438,0.02463768115942029
0.7,0.085,61.95345955653044,-0.039502332814930013,0.017391304347826087
0.704,0.08,61.74415732829892,-0.038569206842923795,0.02753623188405797
0.708,0.1,61.74415732829892,-0.039191290824261274,0.014492753623188406
0.712,0.105,61.5348551000674,-0.037947122861586316,0.013043478260869565
0.716,0.105,60.90694841537283,-0.03188180404354588,0.0
0.72,0.115,61.11625064360435,-0.03250388802488336,-0.008695652173913044
0.724,0.11,61.11625064360435,-0.03328149300155521,-0.02608695652173913
0.728,0.12,60.90694841537283,-0.030793157076205287,-0.028985507246376812
0.732,0.135,61.325552871835875,-0.027371695178849145,-0.04492753623188406
0.736,0.135,60.69764618714131,-0.02534992223950233,-0.034782608695652174
0.74,0.13,60.69764618714131,-0.0223950233281493,-0.0463768115942029
0.744,0.135,60.279041730678266,-0.0223950233281493,-0.036231884057971016
0.748,0.14,60.279041730678266,-0.021306376360808708,-0.0463768115942029
0.752,0.16,60.279041730678266,-0.02161741835147745,-0.04057971014492753
0.756,0.155,60.279041730678266,-0.02208398133748056,-0.04927536231884058
0.76,0.155,60.48834395890979,-0.023017107309486782,-0.05217391304347826
0.764,0.17,60.69764618714131,-0.02379471228615863,-0.06521739130434782
0.768,0.16,61.325552871835875,-0.029548989113530325,-0.0782608695652174
0.772,0.165,62.16276178476196,-0.028615863141524107,-0.0927536231884058
0.776,0.175,62.79066846945653,-0.030326594090202177,-0.10144927536231885
0.78,0.165,64.4650862953087,-0.0359253499222395,-0.1144927536231884
0.784,0.19,65.5115974364663,-0.04370139968895801,-0.12028985507246377
0.788,0.195,67.39531749055,-0.0432348367029549,-0.12173913043478261
0.792,0.205,70.53485091402283,-0.049455676516329705,-0.12318840579710146
0.796,0.2,72.83717542456957,-0.05069984447900466,-0.12173913043478261
0.8,0.21,75.34880216334783,-0.05412130637636081,-0.13333333333333333
0.804,0.23,78.27903335858913,-0.05645412130637636,-0.1289855072463768
0.808,0.225,81.62786901029348,-0.060497667185069985,-0.1492753623188406
0.812,0.24,85.18600689022935,-0.060497667185069985,-0.15072463768115943
0.816,0.24,88.32554031370218,-0.05816485225505443,-0.1681159420289855
0.82,0.255,92.09298042186957,-0.056920684292379474,-0.1753623188405797
0.824,0.255,96.06972275826848,-0.05443234836702955,-0.19420289855072465
0.828,0.255,99.83716286643588,-0.050233281493001554,-0.20144927536231885
0.832,0.24,103.39530074637175,-0.046034214618973564,-0.2144927536231884
